verse_key,eng
1CH.11.4,"Then David and all Israel marched to Jerusalem, that is, Jebus, where the Jebusites lived."
1CH.11.40,Ira from Ither; Gareb from Ither.
1CH.11.41,"Uriah the Hittite; Zabad, Ahlais son."
1CH.11.42,"Adina son of Shiza the Reubenite, a leader of the Reubenites, and thirty with him."
1CH.11.43,"Hanan, Maacahs son; Joshaphat the Mithnite."
1CH.11.44,Uzzia the Ashterathite; Shama and Jeiel the sons of Hotham the Aroerite.
1CH.11.45,"Jediael, Shimris son, and his brother Joha the Tizite."
1CH.11.46,"Eliel the Mahavite; Jeribai and Joshaviah, Elnaams sons; Ithmah the Moabite."
1CH.11.47,"Eliel, Obed, and Jaasiel the Mezobaite."
1CH.11.5,"The people who lived in Jebus told David, Youll never get in here! But David captured the mountain fortress of Zion, which became Davids City."
1CH.11.6,"David had said, The first one to kill a Jebusite will become commander in chief! Joab, Zeruiahs son, was the first to attack and so became commander in chief."
1CH.11.7,"David occupied the fortress, so it was renamed Davids City."
1CH.11.8,"He also built up the city on all sides, including its own foundations and the surrounding areas, while Joab restored the rest of the city."
1CH.11.9,"David grew increasingly powerful, and the LORD of heavenly forces was with him."
1CH.12.1,"The following persons came to David at Ziklag while he was banished from the presence of Saul, Kishs son. They were some of the warriors who helped him in battle."
1CH.12.10,"Mishmannah fourth, Jeremiah fifth."
1CH.12.11,"Attai sixth, Eliel seventh."
1CH.12.12,"Johanan eighth, Elzabad ninth."
1CH.12.13,"Jeremiah tenth, Machbannai eleventh."
1CH.12.14,"These Gadites were military officers, the least of them ready to fight a hundred and the greatest a thousand."
1CH.12.15,"These are the ones who crossed the Jordan in the first month, when it was overflowing all its banks, and chased away everyone living in the valleys to the east and the west."
1CH.12.16,Some Benjaminites and Judahites also came to David at the fortress.
1CH.12.17,"David went out to meet them and said to them, If youve come to me with good intentions in order to help me, then we will join forces. But if youve come to betray me to my enemies, though Ive done no wrong, then may our ancestors God see it and punish you."
1CH.12.18,"Then a spirit took hold of Amasai, the leader of the Thirty: David, we are yours; and on your side, Jesses son! May it go very well for you, and may it go well for whoever helps you! Yes, your God has helped you. Then David received them, and put them at the head of his troops."
1CH.12.19,"Some of the Manassites also joined David when he came with the Philistines for the battle against Saul. But he didnt help them, because after considering the matter, the Philistine rulers sent him away. Hell rejoin his master Saul, they said, and it will cost us our heads."
1CH.12.2,"armed with bows, and they could use either hand to shoot arrows or sling stones. They were Sauls relatives from Benjamin."
1CH.12.20,"When he went to Ziklag some joined him from Manasseh: Adnah, Jozabad, Jediael, Michael, Jozabad, Elihu, and Zillethai, leaders of units of a thousand in Manasseh."
1CH.12.21,They helped David against the raiding bands because they were all warriors and officers in the army.
1CH.12.22,Reinforcements came to David daily until there was an army as mighty as Gods army.
1CH.12.23,"These are the numbers of the commanders of those armed for battle who came to David in Hebron to make sure he took over Sauls kingdom, according to the LORDs word."
1CH.12.24,"from Judah, carrying shield and spear, , troops armed for battle."
1CH.12.25,"from Simeon, mighty warriors, ."
1CH.12.26,"from Levi, ."
1CH.12.27,"also Jehoiada, leader of Aarons line, and with him ."
1CH.12.28,"and Zadok, a young man, a mighty warrior, and officers from his household."
1CH.12.29,"from Benjamin, Sauls relatives, . most of whom had been loyal to Sauls household."
1CH.12.3,"Ahiezer was the leader, then Joash, both Shemaahs sons from Gibeah; Jeziel and Pelet, Azmaveths sons; Beracah; Jehu of Anathoth."
1CH.12.30,"from Ephraim, . mighty warriors, famous in their households."
1CH.12.31,"from half the tribe of Manasseh, . designated by name to come and make David king."
1CH.12.32,"from Issachar, those who understood the times and what Israel should do, chiefs, with all their relatives under their command."
1CH.12.33,"from Zebulun, , experienced troops, armed for battle with all the weapons of war, to help with undivided loyalty."
1CH.12.34,"from Naphtali, , officers, as well as , armed with shield and spear."
1CH.12.35,"from Dan, , armed for battle."
1CH.12.36,"from Asher, , experienced troops armed for battle."
1CH.12.37,"from the other side of the Jordan, the Reubenites, Gadites, and the other half of the tribe of Manasseh, , armed with all the weapons of war."
1CH.12.38,"All these men of war, armed for battle, came to Hebron determined to make David king over all Israel, and all the rest of Israel were fully agreed to make David king."
1CH.12.39,"They were there with David for three days, eating and drinking, while their relatives provided food for them."
1CH.12.4,"Ishmaiah from Gibeon, a warrior in the Thirty and a leader over the Thirty; Jeremiah; Jahaziel; Johanan; Jozabad from Gederah."
1CH.12.40,"Even their neighbors from as far away as Issachar, Zebulun, and Naphtali were bringing food by donkeys, camels, mules, and oxen. There was an abundance of flour, fig cakes, clusters of raisins, wine, oil, oxen, and sheep, because Israel was joyful."
1CH.12.5,Eluzai; Jerimoth; Bealiah; Shemariah; Shephatiah the Haruphite.
1CH.12.6,"Elkanah, Isshiah, Azarel, Joezer, and Jashobeam the Korahites."
1CH.12.7,"Joelah; and Zebadiah, Jerohams son from Gedor."
1CH.12.8,"Some left Gad to join David at the desert fortress, brave warriors trained for battle, armed with shield and spear, who looked like lions and who were swift as gazelles on the mountains."
1CH.12.9,"Ezer the leader, Obadiah second, Eliab third."
1CH.13.1,"After consulting with the captains of the units of a thousand and a hundred, in fact with every leader."
1CH.13.10,But the LORD became angry with Uzzah and struck him because he had placed his hand on the chest. He died right there before God.
1CH.13.11,David was angry that the LORD lashed out at Uzzah; and so that place is still called Perez-uzzah today.
1CH.13.12,David was frightened by God that day. How will I ever bring Gods chest home to me? he asked.
1CH.13.13,"So David didnt take the chest away with him to Davids City. Instead, he had it put in the house of Obed-edom the Gittite."
1CH.13.14,"Gods chest stayed with Obed-edoms household for three months, and the LORD blessed Obed-edoms household and all that he had."
1CH.13.2,"David said to the entire Israelite assembly: If you approve, and if the LORD our God agrees, lets spread the word to the rest of our relatives in all the regions of Israel, including the priests and Levites in their cities with pasturelands. Lets ask them to join us."
1CH.13.3,"so that we may bring the chest of our God back to us, because we didnt look for it in Sauls days."
1CH.13.4,"The whole assembly agreed to do so, because all the people thought it was the right thing to do."
1CH.13.5,"So David assembled all Israel, from the border of Egypt to Lebo-hamath in order to bring up Gods chest from Kiriath-jearim."
1CH.13.6,"Then David and all Israel went up toward Baalah, to Kiriath-jearim, which belongs to Judah, to bring up from there the chest of God, the LORD, who sits enthroned on the winged creatures, where he is called by name."
1CH.13.7,They moved Gods chest on a new cart from Abinadabs house. Uzzah and Ahio were guiding the cart.
1CH.13.8,"while David and all Israel celebrated in Gods presence with all their strength, accompanied by songs, zithers, harps, tambourines, cymbals, and trumpets."
1CH.13.9,"When they came to Chidons threshing floor, Uzzah reached out to the chest and grabbed it because the oxen had stumbled."
1CH.14.1,"Tyres King Hiram sent messengers to David with cedar logs, bricklayers, and carpenters to build David a palace."
1CH.14.10,"David asked God for advice: Should I attack the Philistines, and will you hand them over to me? The LORD answered, Attack them, and Ill definitely hand them over to you."
1CH.14.11,"So they marched up to Baal-perazim, and David defeated them there. By my strength, David exclaimed, God has burst out against my enemies, the way water bursts out. Thats why the place is called Baal-perazim."
1CH.14.12,"The Philistines left their divine images behind, and David ordered them burned."
1CH.14.13,When the Philistines plundered the valley a second time.
1CH.14.14,"David again asked Gods advice, but God answered, Dont attack them directly. Circle around behind them and come at them from in front of the balsam trees."
1CH.14.15,"As soon as you hear the sound of marching in the tops of the trees, then attack, for God has attacked in front of you to defeat the Philistine army."
1CH.14.16,"David followed Gods orders exactly, and they defeated the Philistine army from Gibeon all the way to Gezer."
1CH.14.17,"Davids fame spread throughout all lands, and the LORD made all the nations fear him."
1CH.14.2,"Then David knew that the LORD had established him as king over Israel, and that his kingship was held in great honor for the sake of his people Israel."
1CH.14.3,David married more secondary wives in Jerusalem and fathered more sons and daughters.
1CH.14.4,"The names of his children in Jerusalem were as follows: Shammua, Shobab, Nathan, Solomon."
1CH.14.5,"Ibhar, Elishua, Elpelet."
1CH.14.6,"Nogah, Nepheg, Japhia."
1CH.14.7,"Elishama, Beeliada, and Eliphelet."
1CH.14.8,"When the Philistines heard that David had been anointed king over all Israel, they all marched up to find him. David heard this and went out to confront them."
1CH.14.9,The Philistines had invaded and were plundering the Rephaim Valley.
1CH.15.1,"After he had built houses for himself in Davids City, David prepared a place for Gods chest and pitched a tent for it."
1CH.15.10,"and Amminadab, the leader of Uzziels family, and of his relatives."
1CH.15.11,"David called for the priests Zadok and Abiathar, and the Levites Uriel, Asaiah, Joel, Shemaiah, Eliel, and Amminadab."
1CH.15.12,"He said to them, You are the household heads of the Levites. Make yourselves holy, you and your brothers, and then bring the chest of the LORD, Israels God, to the place Ive prepared for it."
1CH.15.13,"When you werent with us the first time, the LORD our God burst out against us because we didnt ask his advice properly."
1CH.15.14,"So the priests and the Levites made themselves holy to bring up the chest of the LORD, Israels God."
1CH.15.15,"The Levites carried Gods chest with poles on their shoulders, just as Moses had commanded according to the LORDs word."
1CH.15.16,"Then David told the leaders of the Levites to appoint some of their relatives as singers to raise their voices joyfully, accompanied by musical instruments, including harps, lyres, and cymbals."
1CH.15.17,"So the Levites appointed Heman, Joels son; and from his relatives, Asaph, Berechiahs son; and from their Merarite relatives, Ethan, Kushaiahs son."
1CH.15.18,"and second in rank with them their relatives: Zechariah, Jaaziel, Shemiramoth, Jehiel, Unni, Eliab, Benaiah, Maaseiah, Mattithiah, Eliphelehu, Mikneiah, and Obed-edom and Jeiel the gatekeepers."
1CH.15.19,"The singers Heman, Asaph, and Ethan were to make music with bronze cymbals."
1CH.15.2,"David said, Only the Levites may carry Gods chest, because the LORD has chosen them to carry the LORDs chest and to minister to him forever."
1CH.15.20,"Zechariah, Aziel, Shemiramoth, Jehiel, Unni, Eliab, Maaseiah, and Benaiah were to play harps tuned to the Alamoth."
1CH.15.21,"Mattithiah, Eliphelehu, Mikneiah, Obed-edom, Jeiel, and Azaziah were to lead with lyres tuned to the Sheminith."
1CH.15.22,"Chenaniah was leader of the Levites who provided transportation, because he was skilled at it."
1CH.15.23,Berechiah and Elkanah were gatekeepers for the chest.
1CH.15.24,"The priests Shebaniah, Joshaphat, Nethanel, Amasai, Zechariah, Benaiah, and Eliezer were to blow the trumpets before Gods chest. Obed-edom and Jehiah also were to be gatekeepers for the chest."
1CH.15.25,"Then David, along with Israels elders and the captains of the thousands, went with rejoicing to bring up the chest containing the LORDs covenant from Obed-edoms house."
1CH.15.26,"Since God had helped the Levites who were carrying the chest containing the LORDs covenant, they sacrificed seven bulls and seven rams."
1CH.15.27,"David wore a fine-linen robe, as did the singers, all the Levites who were carrying the chest, and Chenaniah, the leader of transportation. David also wore a linen priestly vest."
1CH.15.28,"So all Israel brought up the chest containing the LORDs covenant with shouts of joy, accompanied by the blast of the rams horn, by trumpets and cymbals, and playing on harps and lyres."
1CH.15.29,"As the chest containing the LORDs covenant entered Davids City, Michal, Sauls daughter, looked out the window. When she saw King David leaping and dancing, she lost all respect for him."
1CH.15.3,David assembled all Israel in Jerusalem to bring the LORDs chest to the place he had prepared for it.
1CH.15.4,David also gathered Aarons family and the Levites.
1CH.15.5,"Uriel, the leader of Kohaths family, and of his relatives."
1CH.15.6,"Asaiah, the leader of Meraris family, and of his relatives."
1CH.15.7,"Joel, the leader of Gershoms family, and of his relatives."
1CH.15.8,"Shemaiah, the leader of Elizaphans family, and of his relatives."
1CH.15.9,"Eliel, the leader of Hebrons family, and of his relatives."
1CH.16.1,They brought in Gods chest and placed it inside the tent David had pitched for it. Then they brought entirely burned offerings and well-being sacrifices before God.
1CH.16.10,Give praise to Gods holy name! Let the hearts of all those seeking the LORD rejoice!.
1CH.16.11,Pursue the LORD and his strength; seek his face always!.
1CH.16.12,"Remember the wondrous works he has done, all his marvelous works, and the justice he declared."
1CH.16.13,"you who are the offspring of Israel, his servant, and the children of Jacob, his chosen ones."
1CH.16.14,The LORD—he is our God. His justice is everywhere throughout the whole world.
1CH.16.15,"God remembers his covenant forever, the word he commanded to a thousand generations."
1CH.16.16,"which he made with Abraham, the solemn pledge he swore to Isaac."
1CH.16.17,"God set it up as binding law for Jacob, as an eternal covenant for Israel."
1CH.16.18,"promising, I hereby give you the land of Canaan as your allotted inheritance."
1CH.16.19,"When they were few in number— insignificant, just immigrants."
1CH.16.2,"When David had finished offering the entirely burned offerings and the well-being sacrifices, he blessed the people in the LORDs name."
1CH.16.20,"wandering from nation to nation, from one kingdom to the next."
1CH.16.21,God didnt let anyone oppress them. God punished kings for their sake.
1CH.16.22,Dont touch my anointed ones; dont harm my prophets.
1CH.16.23,"Sing to the LORD, all the earth! Share the news of his saving work every single day!."
1CH.16.24,Declare Gods glory among the nations; declare his wondrous works among all people.
1CH.16.25,because the LORD is great and so worthy of praise. He is awesome beyond all other gods.
1CH.16.26,"because all the gods of the nations are just idols, but it is the LORD who created heaven!."
1CH.16.27,Greatness and grandeur are in front of him; strength and joy are in his place.
1CH.16.28,"Give to the LORD, all families of the nations— give to the LORD glory and power!."
1CH.16.29,Give to the LORD the glory due his name! Bring gifts! Enter his presence! Bow down to the LORD in his holy splendor!.
1CH.16.3,"and distributed a loaf of bread, a piece of meat, and a raisin cake to every Israelite man and woman."
1CH.16.30,"Tremble before him, all the earth! Yes, he set the world firmly in place; it wont be shaken."
1CH.16.31,"Let heaven celebrate! Let the earth rejoice! Let the nations say, The LORD rules."
1CH.16.32,Let the sea and everything in it roar! Let the countryside and everything in it celebrate!.
1CH.16.33,"Then the trees of the forest will shout out joyfully before the LORD, because he is coming to establish justice on earth!."
1CH.16.34,"Give thanks to the LORD because he is good, because his faithful love endures forever."
1CH.16.35,"Say: Save us, God, our savior! Gather us! Deliver us from among the nations so we can give thanks to your holy name and rejoice in your praise."
1CH.16.36,"Bless the LORD, Israels God, from forever in the past to forever always. And let all the people say, Amen! Praise the LORD!."
1CH.16.37,"Then David placed Asaph and his relatives, together with Obed-edom and sixty-eight of his relatives, to minister there continually before the chest containing the LORDs covenant, following the routines required on each day."
1CH.16.38,"Obed-edom, Jeduthuns son, and Hosah served as gatekeepers."
1CH.16.39,David also placed the priest Zadok and his other priestly relatives at the LORDs dwelling at the shrine in Gibeon.
1CH.16.4,"David appointed some of the Levites to serve before the LORDs chest in order to remember, to give thanks, and to praise the LORD, Israels God."
1CH.16.40,"They were to offer continually, both morning and evening, entirely burned offerings to the LORD on the altar for entirely burned offerings, following the written requirements in the LORDs Instruction, which he had given Israel."
1CH.16.41,"With them were Heman and Jeduthun and the rest of those chosen by name to give thanks to the LORD, because his faithful love lasts forever."
1CH.16.42,With them were also the trumpets and the cymbals for the musicians and the instruments for Gods songs. Jeduthuns family was at the gate.
1CH.16.43,Then all of the people left for their homes. And David returned to bless his household.
1CH.16.5,"Asaph was the leader, and Zechariah his assistant; also Jeiel, Shemiramoth, Jehiel, Mattithiah, Eliab, Benaiah, Obed-edom, and Jeiel with harps and lyres; Asaph sounding the cymbals."
1CH.16.6,and the priests Benaiah and Jahaziel blowing trumpets regularly before the chest containing Gods covenant.
1CH.16.7,"On the same day, for the first time, David ordered Asaph and his relatives to give thanks to the LORD."
1CH.16.8,"Give thanks to the LORD, call on his name; make his deeds known to all people!."
1CH.16.9,"Sing to God, sing praises to him; dwell on all his wondrous works!."
1CH.17.1,"When David was settled into his palace, he said to the prophet Nathan, Im living in a cedar palace while the chest containing the LORDs covenant is under curtains."
1CH.17.10,"when I appointed judges over my people Israel. Ill subdue all your enemies and make you great. As for a dynasty, the LORD will build one for you!."
1CH.17.11,"When the time comes for you to die, I will raise up a descendant of yours after you, one of your own sons, to succeed you, and I will establish his kingship."
1CH.17.12,"He is the one who will build me a temple, and I will establish his throne forever."
1CH.17.13,"I will become his father and he will become my son, and Ill never withdraw my faithful love from him as I did from the one before you."
1CH.17.14,"Ill install him in my house and in my kingdom forever, and his throne will be established forever."
1CH.17.15,Nathan faithfully reported all that he had seen and heard to David.
1CH.17.16,"Then King David went and sat in the LORDs presence. He asked: Who am I, LORD God, and of what significance is my family that you have brought me this far?."
1CH.17.17,"But even this was too small in your eyes, God. You have spoken about the future of your servants dynasty and have chosen me as an important person, LORD God."
1CH.17.18,What more can I say to you for honoring your servant? You yourself know your servant.
1CH.17.19,"LORD, for your servants sake and according to your will, you have done this great thing in order to make all these great things known."
1CH.17.2,"Nathan replied, Go ahead and do whatever you are thinking, because God is with you."
1CH.17.20,"LORD, no one can compare to you, no God except you, just as we have heard with our own ears."
1CH.17.21,"Who is like your people Israel, a unique nation on the earth, that God redeemed as his own people, establishing a name for yourself by doing great and awesome things, by driving out nations before your people whom you saved from Egypt?."
1CH.17.22,"You established your people Israel as your own people forever, and you, LORD, became their God."
1CH.17.23,"Now, LORD, confirm forever the promise you have made about your servant and his dynasty. Do as you have promised."
1CH.17.24,"so that it may be established and so that your name may be made great forever when people say, The LORD of heavenly forces, the God of Israel, is Israels God. May your servant Davids household be established before you."
1CH.17.25,"You, my God, have revealed to your servant that you will build him a dynasty. That is why your servant has found the courage to pray this prayer to you."
1CH.17.26,"LORD, you are truly God, and you promised this good thing to your servant."
1CH.17.27,"So now willingly bless your servants dynasty so that it might continue forever before you, because you, LORD God, have promised. Let your servants dynasty be blessed forever by your blessing."
1CH.17.3,But that very night Gods word came to Nathan.
1CH.17.4,"Go to my servant David and tell him, This is what the LORD says: You are not the one to build the temple for me to live in."
1CH.17.5,"In fact, I havent lived in a temple from the day I brought Israel out until this very day. Ive been traveling from tent to tent and from dwelling to dwelling."
1CH.17.6,"Throughout my traveling with the Israelites, did I ever ask one of Israels tribal leaders, whom I appointed to shepherd my people, Why havent you built me a cedar temple?."
1CH.17.7,"So then, say this to my servant David: This is what the LORD of heavenly forces says: I myself took you from the pasture, from following the flock, to be leader over my people Israel."
1CH.17.8,Ive been with you wherever youve gone. Ive eliminated all your enemies before you. Now I will make your name great—like the name of the greatest people on earth.
1CH.17.9,"Im going to provide a place for my people Israel, and plant them so that they may live there and no longer be disturbed. Cruel people will no longer trouble them as they did earlier."
1CH.18.1,"Some time later, David defeated the Philistines, subdued them, and took Gath and its villages from Philistine control."
1CH.18.10,"he sent his son Hadoram to King David to wish him well and to congratulate him over his battle and defeat of Hadadezer, because Tou was an enemy of Hadadezer. Hadoram brought with him all kinds of gold, silver, and bronze objects."
1CH.18.11,"King David dedicated these to the LORD along with the silver and the gold he had taken from all these nations: Edom, Moab, the Ammonites, the Philistines, and Amalek."
1CH.18.12,"Abishai, Zeruiahs son, struck down eighteen thousand Edomites in the Salt Valley."
1CH.18.13,"He stationed soldiers in Edom, and all the Edomites became Davids slaves. The LORD gave David victory wherever he went."
1CH.18.14,David ruled over all Israel and maintained justice and righteousness for all his people.
1CH.18.15,Zeruiahs son Joab was in command of the army; Ahiluds son Jehoshaphat was recorder.
1CH.18.16,Ahitubs son Zadok and Abiathars son Ahimelech were priests; Shavsha was secretary.
